Vervet-AGM gene name	Gene name
	MLLT6
	MLLT6
	MLLT6
	MLLT6
	MLLT6
	MLLT6
	MLLT6
	MLLT6
	MLLT6
	MLLT6
	MLLT6
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
NPAS2	NPAS2
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
DHRS1	DHRS1
	AL138812.1
	AC072026.1
	AC079841.1
	AC078857.1
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
SLC6A2	SLC6A2
	AC072026.2
	AC072026.2
	AC072026.2
	AC072026.2
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
	TRIM16L
TRIM44	TRIM44
TRIM44	TRIM44
	AC072026.3
	AL590560.2
	AL590560.2
	AL590560.2
	AL590560.2
	AL590560.2
	AL590560.2
STXBP5L	STXBP5L
STXBP5L	STXBP5L
STXBP5L	STXBP5L
STXBP5L	STXBP5L
STXBP5L	STXBP5L
STXBP5L	STXBP5L
STXBP5L	STXBP5L
STXBP5L	STXBP5L
KCTD11	KCTD11
KCTD11	KCTD11
	LINC01883
	AC026954.3
	Z93015.1
NYX	NYX
NYX	NYX
NYX	NYX
	AC090692.2
	KRT18P14
	AC090692.3
	AC090692.1
	AC090692.1
HELQ	HELQ
HELQ	HELQ
HELQ	HELQ
HELQ	HELQ
HELQ	HELQ
HELQ	HELQ
MSI1	MSI1
MSI1	MSI1
MSI1	MSI1
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
	BRD2
VSIG8	VSIG8
	AL929601.2
	AC010655.2
	CHEK2P4
	AC010655.4
	KIR2DL3
	AC010655.3
HILPDA	HILPDA
HILPDA	HILPDA
HILPDA	HILPDA
HILPDA	HILPDA
	AP000547.2
	SPATA5
	SPATA5
	SPATA5
	SPATA5
	AC242852.1
SLAMF8	SLAMF8
SLAMF8	SLAMF8
SLAMF8	SLAMF8
SLAMF8	SLAMF8
BORA	BORA
BORA	BORA
BORA	BORA
BORA	BORA
BORA	BORA
BORA	BORA
BORA	BORA
BORA	BORA
BORA	BORA
RPL22L1	RPL22L1
RPL22L1	RPL22L1
RPL22L1	RPL22L1
RPL22L1	RPL22L1
RPL22L1	RPL22L1
RPL22L1	RPL22L1
	AC242852.2
SLC49A4	SLC49A4
SLC49A4	SLC49A4
	AC239859.5
	DYNLL1P4
	AC239859.3
	AC096745.1
SYNPO2	SYNPO2
SYNPO2	SYNPO2
SYNPO2	SYNPO2
SYNPO2	SYNPO2
SYNPO2	SYNPO2
SYNPO2	SYNPO2
SYNPO2	SYNPO2
	AC079910.1
	AC079910.1
	AC084017.1
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
PTPN4	PTPN4
	OCIAD1-AS1
	AC245028.1
TMEM95	TMEM95
TMEM95	TMEM95
TMEM95	TMEM95
IGLV3-9	IGLV3-9
	AC025162.2
	IGLV2-8
	IGLV2-8
	IGLV2-8
	AC026333.1
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
DGKA	DGKA
	AHCYP4
	AC005695.3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	NBPF3
	SPAG11B
	SPAG11B
	SPAG11B
	SPAG11B
	SPAG11B
	SPAG11B
	SPAG11B
	SPAG11B
	SPAG11B
	AC023468.1
	AL096870.8
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
RSKR	RSKR
	AC023200.1
	LINC02035
	AC013265.1
	AC062021.1
	EEF1A1P2
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
MYH7B	MYH7B
	AC016710.2
	AL590560.3
	AC097716.1
	MRPS18BP2
	SNHG28
	SNHG28
	SNHG28
	RPL9P13
	AC078851.1
	AC098595.1
	MTCYBP43
	LINC01853
PCDH7	PCDH7
PCDH7	PCDH7
PCDH7	PCDH7
PCDH7	PCDH7
PCDH7	PCDH7
PCDH7	PCDH7
PCDH7	PCDH7
PCDH7	PCDH7
	AC026402.1
	CORO7-PAM16
	CORO7-PAM16
	CORO7-PAM16
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
CNEP1R1	CNEP1R1
ELP1	ELP1
ELP1	ELP1
ELP1	ELP1
ELP1	ELP1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
MDM1	MDM1
ZKSCAN5	ZKSCAN5
ZKSCAN5	ZKSCAN5
ZKSCAN5	ZKSCAN5
ZKSCAN5	ZKSCAN5
	FRG2IP
	LINC01323
	AC243807.5
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	AC243807.2
	RPS27P25
	RPS27P25
	LINC01324
	LINC01324
SV2A	SV2A
SV2A	SV2A
	AC003982.1
	AC003982.1
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
FAM160B2	FAM160B2
	AL138825.1
	DDX18P3
	UGT2B25P
VLDLR	VLDLR
VLDLR	VLDLR
VLDLR	VLDLR
VLDLR	VLDLR
	RPL17P50
	Z97055.2
	Z97055.2
	AC108078.1
	AC092587.1
	AC018690.1
	UGT2B24P
MITD1	MITD1
MITD1	MITD1
MITD1	MITD1
MITD1	MITD1
MITD1	MITD1
MITD1	MITD1
MITD1	MITD1
MITD1	MITD1
MITD1	MITD1
	AC243807.3
	AC108078.3
	LINC02210-CRHR1
	LINC02210-CRHR1
TRIAP1	TRIAP1
TRIAP1	TRIAP1
	AC067930.7
	RPA4
	AC108078.2
	AC067930.6
	AC067930.6
	DENND11
	DENND11
	NDUFB5P2
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
COQ9	COQ9
	AC026271.3
RNASE2	RNASE2
	FGF7P2
SULT4A1	SULT4A1
SULT4A1	SULT4A1
SULT4A1	SULT4A1
SULT4A1	SULT4A1
	RPL31P52
	ZXDB
	ZXDB
	AL021546.1
DIAPH2	DIAPH2
DIAPH2	DIAPH2
DIAPH2	DIAPH2
DIAPH2	DIAPH2
DIAPH2	DIAPH2
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	EEF1D
	COX6A1
	COX6A1
	COX6A1
	AC016738.1
	AL139381.1
	LINC00557
	ANKRD30BP1
	AC004918.4
	AGK
	AGK
	AGK
	AGK
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
ZNF789	ZNF789
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	MBOAT7
	GATC
	GATC
	GATC
	TAP2
	TAP2
	TAP2
	TAP2
DIS3	DIS3
DIS3	DIS3
DIS3	DIS3
DIS3	DIS3
DIS3	DIS3
PCDH18	PCDH18
PCDH18	PCDH18
PCDH18	PCDH18
PCDH18	PCDH18
PCDH18	PCDH18
PCDH18	PCDH18
PCDH18	PCDH18
PCDH18	PCDH18
	AC245028.2
	IGLV3-7
	IGLV3-6
	IGLV2-5
	IGLV3-4
IGLV4-3	IGLV4-3
	SPAG5-AS1
	SPAG5-AS1
	SPAG5-AS1
	SPAG5-AS1
	SPAG5-AS1
	SPAG5-AS1
NPC1L1	NPC1L1
NPC1L1	NPC1L1
NPC1L1	NPC1L1
NPC1L1	NPC1L1
	IGLV3-2
	AL024498.1
	AL024498.1
	AL024498.1
	IGLV3-1
	AC005726.3
	ARMS2
	IGLJ1
	IGLC1
	IGLC1
	IGLC1
ALDOC	ALDOC
ALDOC	ALDOC
ALDOC	ALDOC
ALDOC	ALDOC
ALDOC	ALDOC
ALDOC	ALDOC
ALDOC	ALDOC
ALDOC	ALDOC
ALDOC	ALDOC
	IGLL5
	IGLL5
	IGLL5
	IGLL5
	IGLL5
	IGLL5
	IGLL5
	IGLL5
	IGLL5
TRPC6	TRPC6
TRPC6	TRPC6
TRPC6	TRPC6
TRPC6	TRPC6
TRPC6	TRPC6
TRPC6	TRPC6
TRPC6	TRPC6
PLEKHA1	PLEKHA1
PLEKHA1	PLEKHA1
PLEKHA1	PLEKHA1
PLEKHA1	PLEKHA1
PLEKHA1	PLEKHA1
PLEKHA1	PLEKHA1
PLEKHA1	PLEKHA1
PLEKHA1	PLEKHA1
SRSF9	SRSF9
SRSF9	SRSF9
SRSF9	SRSF9
SRSF9	SRSF9
SRSF9	SRSF9
SRSF9	SRSF9
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
PXYLP1	PXYLP1
	PRICKLE2-AS1
	PRICKLE2-AS1
	LINC00994
	RARRES2P7
	PRICKLE2-DT
	PRICKLE2-DT
	AGGF1P5
	DEFB104B
	MRPL30
	MRPL30
	MRPL30
	MRPL30
	MRPL30
	C2orf69P3
	PRDX3P4
	AC018558.4
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
PRICKLE2	PRICKLE2
	ZNF971P
	ZNF971P
	AC018558.6
	AL138725.1
	LINC02497
	LINC02497
ZNF394	ZNF394
ZNF394	ZNF394
ZNF394	ZNF394
ZNF394	ZNF394
ZNF394	ZNF394
ZNF394	ZNF394
ZNF394	ZNF394
ZNF394	ZNF394
ZNF394	ZNF394
POGLUT3	POGLUT3
POGLUT3	POGLUT3
POGLUT3	POGLUT3
POGLUT3	POGLUT3
POGLUT3	POGLUT3
POGLUT3	POGLUT3
	AC108725.1
	AL627313.1
	AL096840.3
	MTCO1P44
	AC006449.12
	LINC02005
	LINC02005
	LINC02005
	LINC02005
	AL627082.1
	AC104071.1
	MTND2P19
	CISD3
	CISD3
	CISD3
	MTND1P27
	LINC02501
	LINC02501
	LINC02501
	LINC02047
	AC016930.1
	AKR1B1P2
	AC138938.1
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	LINC02241
	AC079841.2
	LINC02049
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
STX8	STX8
	MTND3P4
	MTOR-AS1
	MTOR-AS1
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
POLM	POLM
PAPOLG	PAPOLG
PAPOLG	PAPOLG
PAPOLG	PAPOLG
PAPOLG	PAPOLG
PAPOLG	PAPOLG
PAPOLG	PAPOLG
PAPOLG	PAPOLG
LIPT1	LIPT1
LIPT1	LIPT1
LIPT1	LIPT1
LIPT1	LIPT1
LIPT1	LIPT1
LIPT1	LIPT1
LIPT1	LIPT1
LIPT1	LIPT1
	PCGF2
	PCGF2
	PCGF2
	PCGF2
	PCGF2
	PCGF2
	PCGF2
	HMGB1P24
	HMGB1P24
	AC116563.2
	EIF3LP1
	LINC02172
	AL355838.1
	AL355838.1
	AL355838.1
	AL355838.1
	AL355838.1
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	ACACA
	AC136621.1
	AC079298.2
	LINC02311
	LINC02311
	LINC02311
	LINC02311
	DCHS2
	DCHS2
	DCHS2
	DCHS2
	DCHS2
	DCHS2
	DCHS2
	DCHS2
	RPL9P6
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
NFU1	NFU1
PSMB4	PSMB4
PSMB4	PSMB4
PSMB4	PSMB4
PSMB4	PSMB4
PSMB4	PSMB4
PSMB4	PSMB4
PSMB4	PSMB4
	AC079447.1
	AC079447.1
PEX2	PEX2
PEX2	PEX2
PEX2	PEX2
PEX2	PEX2
PEX2	PEX2
PEX2	PEX2
	BX842242.1
	BX842242.1
HTRA1	HTRA1
HTRA1	HTRA1
HTRA1	HTRA1
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
DOK4	DOK4
	PRICKLE2-AS2
GNB3	GNB3
GNB3	GNB3
GNB3	GNB3
GNB3	GNB3
GNB3	GNB3
GNB3	GNB3
GNB3	GNB3
GNB3	GNB3
GNB3	GNB3
	AC092040.2
LYG2	LYG2
LYG2	LYG2
LYG2	LYG2
LYG2	LYG2
LYG2	LYG2
LYG2	LYG2
	AC007938.1
	PRICKLE2-AS3
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
ARID1A	ARID1A
	PFN1P10
RNF144B	RNF144B
RNF144B	RNF144B
	EIF1P4
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
PRSS21	PRSS21
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
NRCAM	NRCAM
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
FAM227A	FAM227A
BTRC	BTRC
BTRC	BTRC
BTRC	BTRC
BTRC	BTRC
BTRC	BTRC
BTRC	BTRC
BTRC	BTRC
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	SLC44A3-AS1
	HIGD1AP18
	AL355922.2
	AC062004.1
	AC062004.1
	AC062004.1
	PABPC4-AS1
	PABPC4-AS1
	DLGAP2-AS1
	DLGAP2-AS1
	AC005695.2
	AC087501.3
	DSPP
	AC087501.4
	AC087501.2
	AC087501.1
	DLGAP2
	DLGAP2
	DLGAP2
	DLGAP2
	DLGAP2
	DLGAP2
	DLGAP2
	AP000776.1
	AP003080.1
	AP003080.1
	SMC3P1
	AC093895.2
	AC093895.2
	AC093895.2
	AC093895.2
	AC239859.4
	C2orf15
	C2orf15
	C2orf15
	C2orf15
	NKAIN1P1
	AL117372.1
	AL117372.1
	AL117372.1
	AL117372.1
	AC239859.2
	LINC02799
	AC091806.1
	AC091806.1
	AC091806.1
	ATP2B2-IT2
	AL139348.1
	AC110775.1
	AC079298.3
	AC079298.3
	AC079298.3
	AC079298.3
	AL121910.1
	AC091807.2
	ATP2B2-IT1
DMP1	DMP1
DMP1	DMP1
	LINC01718
	LINC01718
	AC239859.1
	AC007610.7
	AC092473.1
	DEFB103B
HEATR3	HEATR3
HEATR3	HEATR3
HEATR3	HEATR3
HEATR3	HEATR3
HEATR3	HEATR3
	RPL27P7
	AC079298.1
	NBPF17P
	AL356750.1
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	LINC00426
	AP000357.1
ASXL2	ASXL2
ASXL2	ASXL2
ASXL2	ASXL2
ASXL2	ASXL2
ASXL2	ASXL2
ASXL2	ASXL2
TNK1	TNK1
TNK1	TNK1
TNK1	TNK1
TNK1	TNK1
TNK1	TNK1
TNK1	TNK1
TNK1	TNK1
TNK1	TNK1
	AC079780.1
LYG1	LYG1
LYG1	LYG1
	PFN1P12
	RPL7P47
	AC010601.1
	AC010601.1
	DIAPH2-AS1
	DIAPH2-AS1
	DIAPH2-AS1
	DIAPH2-AS1
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
EXOSC2	EXOSC2
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
GATD1	GATD1
	AC091489.1
	AC091489.2
	AC010601.2
	AL121981.1
	AC128709.2
	AL662845.1
	AC084706.1
	AC084706.1
RFC3	RFC3
RFC3	RFC3
RFC3	RFC3
	AC128709.1
	HLA-DMB
	HLA-DMB
	HLA-DMB
	HLA-DMB
	HLA-DMB
	HLA-DMB
	HLA-DMB
	HLA-DMB
P2RY2	P2RY2
P2RY2	P2RY2
P2RY2	P2RY2
	AC128709.3
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	LINC02301
	DEFB106B
	LINC02012
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	JAML
	CCDC197
	CCDC197
	CCDC197
	CCDC197
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
TASOR2	TASOR2
	DEFB105B
	TSPY19P
	ENSAP2
	ARL2BPP7
	IGLJ2
	AL442644.2
	PKIA-AS1
	PKIA-AS1
	PKIA-AS1
	PKIA-AS1
	PKIA-AS1
	AL442644.1
	IGLC2
	LINC00587
	ZYG11AP1
	DEFB107B
	AL365396.1
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	EIF4B
	AL161893.1
	AL354685.1
	IGLJ3
PKIA	PKIA
PKIA	PKIA
PKIA	PKIA
	PRR23D1
	AP002761.4
	AC008785.1
	AC126755.5
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
CCT7	CCT7
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
MLH1	MLH1
	PRTN3
	PRTN3
	NAV2-AS4
	NAV2-AS5
	NAV2-AS5
	NLRP2B
	AC009549.1
	AL139246.4
	LINC02146
	LINC02146
	LINC02146
	LINC02146
	LINC02146
	Z93019.1
PLCH2	PLCH2
PLCH2	PLCH2
PLCH2	PLCH2
PLCH2	PLCH2
PLCH2	PLCH2
PLCH2	PLCH2
PLCH2	PLCH2
PLCH2	PLCH2
	NAV2-AS2
	NAV2-AS3
	TMEM256
	TMEM256
	TMEM256
	FRG2DP
	FRG2DP
	FRG2DP
	ZXDA
	ZXDA
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	VLDLR-AS1
	AL355095.1
	AC007610.3
	AL359238.1
MZT1	MZT1
	AC007610.4
	AL162872.1
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
NAV2	NAV2
	AL161713.1
	ACTG1P16
	VN1R8P
	HLA-DMA
	HLA-DMA
	HLA-DMA
	HLA-DMA
	HLA-DMA
	HLA-DMA
	HLA-DMA
	HLA-DMA
	HLA-DMA
	HLA-DMA
	GTF2IP2
	LINC02305
	LINC02305
	LINC02305
	AC007610.2
	AL355310.2
	AC007610.6
	CHCHD2P7
GNAT2	GNAT2
GNAT2	GNAT2
	AL356807.1
	MYCLP2
	AC117383.1
	KRT8P17
	AL161891.1
