#Mouse Gene	Human Gene	Source
Trim5	TRIM5	MGI, PanEnsembl, HomoloGene
Trim12a	TRIM5	PanEnsembl
Trim12c	TRIM5	PanEnsembl
Trim30b	TRIM5	PanEnsembl
Trim30a	TRIM5	PanEnsembl
Trim30d	TRIM5	PanEnsembl
Trim30c	TRIM5	PanEnsembl
Pknox2	PKNOX2	MGI, PanEnsembl, HomoloGene
Slc25a35	SLC25A35	MGI, PanEnsembl, HomoloGene
Olfr716	OR2D3	MGI, PanEnsembl, HomoloGene, HORDE
Olfr1332-ps1	OR2D3	HORDE
Olfr1337	OR2D3	HORDE
Olfr1331	OR2D3	HORDE
Olfr702	OR2D3	HORDE
Olfr1330	OR2D3	HORDE
Olfr707	OR2D3	HORDE
Olfr1532	OR2D3	HORDE
Olfr709	OR2D3	HORDE
Olfr710	OR2D3	HORDE
Spin1	SPIN1	MGI, PanEnsembl, HomoloGene
Ncam1	NCAM1	MGI, PanEnsembl, HomoloGene
Trim69	TRIM69	MGI, PanEnsembl, HomoloGene
Mark1	MARK1	MGI, PanEnsembl, HomoloGene
Hax1	HAX1	MGI, PanEnsembl, HomoloGene
Aass	AASS	MGI, PanEnsembl, HomoloGene
Tas2r114	TAS2R10	MGI, PanEnsembl, HomoloGene
Tas2r106	TAS2R10	PanEnsembl
Tas2r107	TAS2R10	PanEnsembl
Tas2r104	TAS2R10	PanEnsembl
Tas2r105	TAS2R10	PanEnsembl
Mageb4	MAGEB4	PanEnsembl
Bak1	BAK1	MGI, PanEnsembl, HomoloGene
Ptpn12	PTPN12	MGI, PanEnsembl, HomoloGene
Pigf	PIGF	MGI, PanEnsembl, HomoloGene
Itm2b	ITM2B	MGI, PanEnsembl, HomoloGene
Prss35	PRSS35	MGI, PanEnsembl, HomoloGene
Fuca1	FUCA1	MGI, PanEnsembl, HomoloGene
Tmx1	TMX1	MGI, PanEnsembl, HomoloGene
Pnisr	PNISR	MGI
Sfrs18	PNISR	PanEnsembl, HomoloGene
Phax	PHAX	MGI, PanEnsembl, HomoloGene
Ankrd7	ANKRD7	MGI, PanEnsembl, HomoloGene
Mep1a	MEP1A	MGI, PanEnsembl, HomoloGene
Sf3b3	SF3B3	MGI, PanEnsembl, HomoloGene
Mbd3	MBD3	MGI, PanEnsembl, HomoloGene
Yif1b	YIF1B	MGI, PanEnsembl, HomoloGene
Dner	DNER	MGI, PanEnsembl, HomoloGene
Tfam	TFAM	MGI, PanEnsembl, HomoloGene
Ctsd	CTSD	MGI, PanEnsembl, HomoloGene
Ube2cbp	UBE3D	MGI, PanEnsembl, HomoloGene
Zfp712	ZNF135	PanEnsembl
Sec63	SEC63	MGI, PanEnsembl, HomoloGene
Rimklb	RIMKLB	MGI, PanEnsembl, HomoloGene
Gtf2f2	GTF2F2	MGI, PanEnsembl, HomoloGene
Rcc2	RCC2	MGI, PanEnsembl, HomoloGene
Steap2	STEAP2	MGI, PanEnsembl, HomoloGene
Adh7	ADH7	MGI, PanEnsembl, HomoloGene
Ackr3	ACKR3	MGI, PanEnsembl, HomoloGene
Nek10	NEK10	PanEnsembl
Amy1	AMY2A	MGI, PanEnsembl, HomoloGene
Amy2a4	AMY2A	PanEnsembl
Amy2a3	AMY2A	PanEnsembl
Amy2a5	AMY2A	PanEnsembl
Amy2a2	AMY2A	PanEnsembl
Amy2a1	AMY2A	PanEnsembl
Arhgef12	ARHGEF12	MGI, PanEnsembl, HomoloGene
Nme2	NME2	MGI, PanEnsembl, HomoloGene
Gm20390	NME2	PanEnsembl
Gm4862	NME2	PanEnsembl
Sult4a1	SULT4A1	MGI, PanEnsembl, HomoloGene
Cdh3	CDH3	MGI, PanEnsembl, HomoloGene
D17H6S53E	C6orf47	MGI, PanEnsembl, HomoloGene
Prlr	PRLR	MGI, PanEnsembl, HomoloGene
Gm21973	PRLR	PanEnsembl
Brd1	BRD1	MGI, PanEnsembl, HomoloGene
Ubr1	UBR1	MGI, PanEnsembl, HomoloGene
Mfap5	MFAP5	MGI, PanEnsembl, HomoloGene
Zfp280d	ZNF280D	MGI, PanEnsembl, HomoloGene
Leprot	LEPROT	MGI, PanEnsembl, HomoloGene
Hsd3b1	HSD3B2	MGI, PanEnsembl, HomoloGene
Hsd3b2	HSD3B2	PanEnsembl
Hsd3b3	HSD3B2	PanEnsembl
Hsd3b6	HSD3B2	PanEnsembl
Hsd3b4	HSD3B2	PanEnsembl
Hsd3b5	HSD3B2	PanEnsembl
Gm10681	HSD3B2	PanEnsembl
Gm4450	HSD3B2	PanEnsembl
Pde4dip	PDE4DIP	MGI, PanEnsembl, HomoloGene
Nup155	NUP155	MGI, PanEnsembl, HomoloGene
Zcchc3	ZCCHC3	MGI, HomoloGene
Eif1b	EIF1B	MGI, PanEnsembl, HomoloGene
Slc22a2	SLC22A2	MGI, PanEnsembl, HomoloGene
Gm5566	NME1-NME2	MGI, HomoloGene
Nme2	NME1-NME2	PanEnsembl
Gm20390	NME1-NME2	PanEnsembl
Cacna1e	CACNA1E	MGI, PanEnsembl, HomoloGene
Bik	BIK	MGI, PanEnsembl, HomoloGene
Zfp595	ZNF595	MGI, HomoloGene
Usp21	USP21	MGI, PanEnsembl, HomoloGene
Arhgap18	ARHGAP18	MGI, PanEnsembl, HomoloGene
Mrpl40	MRPL40	MGI, PanEnsembl, HomoloGene
Wdr72	WDR72	MGI, PanEnsembl, HomoloGene
P2ry4	P2RY4	MGI, PanEnsembl, HomoloGene
Mthfd1l	MTHFD1L	MGI, PanEnsembl, HomoloGene
Amy2a5	AMY2B	MGI, PanEnsembl
Amy2a3	AMY2B	PanEnsembl
Amy2a2	AMY2B	PanEnsembl
Amy2a4	AMY2B	PanEnsembl, HomoloGene
Amy1	AMY2B	PanEnsembl
Amy2a1	AMY2B	PanEnsembl
Samd9l	SAMD9L	MGI, PanEnsembl, HomoloGene
Cct6b	CCT6B	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L19	PanEnsembl
Usp17la	USP17L19	PanEnsembl
Usp17lc	USP17L19	PanEnsembl
Usp17ld	USP17L19	PanEnsembl
Usp17le	USP17L19	PanEnsembl
Spcs3	SPCS3	MGI, PanEnsembl, HomoloGene
Phkg2	PHKG2	MGI, PanEnsembl, HomoloGene
Lats2	LATS2	MGI, PanEnsembl, HomoloGene
Rassf2	RASSF2	MGI, PanEnsembl, HomoloGene
Stx18	STX18	MGI, PanEnsembl, HomoloGene
Hcn1	HCN1	MGI, PanEnsembl, HomoloGene
Cog6	COG6	MGI, PanEnsembl, HomoloGene
Rbm17	RBM17	MGI, PanEnsembl, HomoloGene
Cdc73	CDC73	MGI, PanEnsembl, HomoloGene
Svopl	SVOPL	MGI, PanEnsembl, HomoloGene
Paox	PAOX	MGI, PanEnsembl, HomoloGene
Eno4	ENO4	MGI, PanEnsembl, HomoloGene
Klhl20	KLHL20	MGI, PanEnsembl, HomoloGene
Milr1	MILR1	PanEnsembl
Gata2	GATA2	MGI, PanEnsembl, HomoloGene
Pnlip	PNLIP	MGI, PanEnsembl, HomoloGene
Fyttd1	FYTTD1	MGI, PanEnsembl, HomoloGene
Col7a1	COL7A1	MGI, PanEnsembl, HomoloGene
Cma1	CMA1	MGI, PanEnsembl, HomoloGene
Gm3055	ZNF624	MGI, HomoloGene
Gm14124	ZNF624	PanEnsembl
Ccn2	CCN2	MGI
Ctgf	CCN2	PanEnsembl, HomoloGene
Nedd9	NEDD9	MGI, PanEnsembl, HomoloGene
Nme1	NME1	MGI, PanEnsembl, HomoloGene
Nfx1	NFX1	MGI, PanEnsembl, HomoloGene
Cdh12	CDH12	MGI, PanEnsembl, HomoloGene
Skp2	SKP2	MGI, PanEnsembl, HomoloGene
Rapgef5	RAPGEF5	MGI, PanEnsembl, HomoloGene
Clhc1	CLHC1	MGI, PanEnsembl
1700034F02Rik	CLHC1	HomoloGene
Heatr5a	HEATR5A	MGI, PanEnsembl, HomoloGene
Gzma	GZMA	MGI, PanEnsembl, HomoloGene
Inhbc	INHBC	MGI, PanEnsembl, HomoloGene
Rps12	RPS12	MGI, PanEnsembl, HomoloGene
Srbd1	SRBD1	MGI, PanEnsembl, HomoloGene
Zfp94	ZNF45	PanEnsembl
Pde5a	PDE5A	MGI, PanEnsembl, HomoloGene
Esrrg	ESRRG	MGI, PanEnsembl, HomoloGene
Wfdc9	WFDC9	MGI, PanEnsembl, HomoloGene
Zmynd15	ZMYND15	MGI, PanEnsembl, HomoloGene
Yju2	YJU2	MGI
Ccdc94	YJU2	PanEnsembl, HomoloGene
Zfp992	ZNF616	MGI
Zfp51	ZNF616	PanEnsembl
Gm13247	ZNF616	HomoloGene
Acbd3	ACBD3	MGI, PanEnsembl, HomoloGene
Upf3a	UPF3A	MGI, PanEnsembl, HomoloGene
Cd44	CD44	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L22	PanEnsembl
Usp17la	USP17L22	PanEnsembl
Usp17lc	USP17L22	PanEnsembl
Usp17ld	USP17L22	PanEnsembl
Usp17le	USP17L22	PanEnsembl
En2	EN2	MGI, PanEnsembl, HomoloGene
Acvr1b	ACVR1B	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L15	PanEnsembl
Usp17lc	USP17L15	PanEnsembl
Usp17la	USP17L15	PanEnsembl
Usp17ld	USP17L15	PanEnsembl
Usp17le	USP17L15	PanEnsembl
Usp17lb	USP17L18	PanEnsembl
Usp17lc	USP17L18	PanEnsembl
Usp17la	USP17L18	PanEnsembl
Usp17le	USP17L18	PanEnsembl
Usp17ld	USP17L18	PanEnsembl
Usp17lb	USP17L20	PanEnsembl
Usp17lc	USP17L20	PanEnsembl
Usp17la	USP17L20	PanEnsembl
Usp17ld	USP17L20	PanEnsembl
Usp17le	USP17L20	PanEnsembl
Ino80e	INO80E	MGI, PanEnsembl, HomoloGene
Eed	EED	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L26	PanEnsembl
Usp17la	USP17L26	PanEnsembl
Usp17lc	USP17L26	PanEnsembl
Usp17ld	USP17L26	PanEnsembl
Usp17le	USP17L26	PanEnsembl
Shc4	SHC4	MGI, PanEnsembl, HomoloGene
Fgf10	FGF10	MGI, PanEnsembl, HomoloGene
Cntn1	CNTN1	MGI, PanEnsembl, HomoloGene
Bicral	BICRAL	MGI
Gltscr1l	BICRAL	PanEnsembl, HomoloGene
Lpl	LPL	MGI, PanEnsembl, HomoloGene
Pdcd2l	PDCD2L	MGI, PanEnsembl, HomoloGene
Gmeb1	GMEB1	MGI, PanEnsembl, HomoloGene
Olfr735	OR4Q3	MGI, PanEnsembl, HomoloGene, HORDE
Paip2b	PAIP2B	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L11	PanEnsembl
Usp17lc	USP17L11	PanEnsembl
Usp17la	USP17L11	PanEnsembl
Usp17le	USP17L11	PanEnsembl
Usp17ld	USP17L11	PanEnsembl
Eif2s2	EIF2S2	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L24	PanEnsembl
Usp17la	USP17L24	PanEnsembl
Usp17lc	USP17L24	PanEnsembl
Usp17ld	USP17L24	PanEnsembl
Usp17le	USP17L24	PanEnsembl
Cep78	CEP78	MGI, PanEnsembl, HomoloGene
Slc5a1	SLC5A1	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L25	PanEnsembl
Usp17lc	USP17L25	PanEnsembl
Usp17la	USP17L25	PanEnsembl
Usp17ld	USP17L25	PanEnsembl
Usp17le	USP17L25	PanEnsembl
Usp17lb	USP17L28	PanEnsembl
Usp17lc	USP17L28	PanEnsembl
Usp17la	USP17L28	PanEnsembl
Usp17ld	USP17L28	PanEnsembl
Usp17le	USP17L28	PanEnsembl
Tnnt1	TNNT1	MGI, PanEnsembl, HomoloGene
Nts	NTS	MGI, PanEnsembl, HomoloGene
Tecrl	TECRL	MGI, PanEnsembl, HomoloGene
Map9	MAP9	MGI, PanEnsembl, HomoloGene
Pcdhb20	PCDHB14	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L27	PanEnsembl
Usp17la	USP17L27	PanEnsembl
Usp17lc	USP17L27	PanEnsembl
Usp17ld	USP17L27	PanEnsembl
Usp17le	USP17L27	PanEnsembl
Ago1	AGO1	MGI, PanEnsembl, HomoloGene
Ctage5	CTAGE1	PanEnsembl
Eif1a	EIF1AX	MGI, HomoloGene
Eif1ax	EIF1AX	PanEnsembl
Kras	KRAS	MGI, PanEnsembl, HomoloGene
Tmem217	TMEM217	MGI, PanEnsembl, HomoloGene
Hspb8	HSPB8	MGI, PanEnsembl, HomoloGene
Ppp2r5d	PPP2R5D	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L5	PanEnsembl
Usp17la	USP17L5	PanEnsembl
Usp17lc	USP17L5	PanEnsembl
Usp17le	USP17L5	PanEnsembl
Usp17ld	USP17L5	PanEnsembl
Alg8	ALG8	MGI, PanEnsembl, HomoloGene
Ncl	NCL	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L13	PanEnsembl
Usp17la	USP17L13	PanEnsembl
Usp17ld	USP17L13	PanEnsembl
Usp17lc	USP17L13	PanEnsembl
Usp17le	USP17L13	PanEnsembl
Bhmt	BHMT	MGI, PanEnsembl, HomoloGene
Gm5096	BHMT	PanEnsembl
Serhl	SERHL2	MGI, PanEnsembl, HomoloGene
Capn6	CAPN6	MGI, PanEnsembl, HomoloGene
Hyal3	HYAL3	MGI, PanEnsembl, HomoloGene
Diaph3	DIAPH3	MGI
Diap3	DIAPH3	PanEnsembl, HomoloGene
Apol8	APOL3	PanEnsembl
Apol9a	APOL3	PanEnsembl
Apol7c	APOL3	PanEnsembl
Apol9b	APOL3	PanEnsembl
Apol7b	APOL3	PanEnsembl
Apol7e	APOL3	PanEnsembl
Apol11a	APOL3	PanEnsembl
Apol10b	APOL3	PanEnsembl
Apol10a	APOL3	PanEnsembl
Apol11b	APOL3	PanEnsembl
Usp17lb	USP17L30	PanEnsembl
Usp17lc	USP17L30	PanEnsembl
Usp17la	USP17L30	PanEnsembl
Usp17le	USP17L30	PanEnsembl
Usp17ld	USP17L30	PanEnsembl
Olfr796	OR10P1	MGI, PanEnsembl, HomoloGene, HORDE
Olfr763	OR10P1	HORDE
Olfr9	OR10P1	HORDE
Acot9	ACOT9	MGI, PanEnsembl, HomoloGene
Acot10	ACOT9	PanEnsembl
Snap91	SNAP91	MGI, PanEnsembl, HomoloGene
Usp17lb	USP17L29	PanEnsembl
Usp17lc	USP17L29	PanEnsembl
Usp17la	USP17L29	PanEnsembl
Usp17ld	USP17L29	PanEnsembl
Usp17le	USP17L29	PanEnsembl
Cflar	CFLAR	MGI, PanEnsembl, HomoloGene
Gm9845	CFLAR	PanEnsembl
Defb12	DEFB105B	MGI, PanEnsembl, HomoloGene
Defb35	DEFB105B	PanEnsembl
Tspan1	TSPAN1	MGI, PanEnsembl, HomoloGene
Mdfic	MDFIC	MGI, PanEnsembl, HomoloGene
Zfp688	ZNF688	MGI, PanEnsembl, HomoloGene
Ankrd27	ANKRD27	MGI, PanEnsembl, HomoloGene
Defb12	DEFB105A	PanEnsembl, HomoloGene
Defb35	DEFB105A	PanEnsembl
Otulin	OTULIN	MGI
Fam105b	OTULIN	PanEnsembl, HomoloGene
Atg5	ATG5	MGI, PanEnsembl, HomoloGene
Ak1	AK1	MGI, PanEnsembl, HomoloGene
Srrm4	SRRM4	MGI, PanEnsembl, HomoloGene
Fam111a	FAM111A	MGI, PanEnsembl, HomoloGene
Msh4	MSH4	MGI, PanEnsembl, HomoloGene
Sec24c	SEC24C	MGI, PanEnsembl, HomoloGene
Zfp82	ZFP82	MGI, PanEnsembl, HomoloGene
Hba-x	HBZ	MGI, PanEnsembl, HomoloGene
Trim46	TRIM46	MGI, PanEnsembl, HomoloGene
Spg11	SPG11	MGI, PanEnsembl, HomoloGene
Actb	ACTB	MGI, PanEnsembl, HomoloGene
Polr1e	POLR1E	MGI, PanEnsembl, HomoloGene
Ube3b	UBE3B	MGI, PanEnsembl, HomoloGene
Bcam	BCAM	MGI, PanEnsembl, HomoloGene
Tgm2	TGM2	MGI, PanEnsembl, HomoloGene
Fbxw7	FBXW7	MGI, PanEnsembl, HomoloGene
Ina	INA	MGI, PanEnsembl, HomoloGene
Tmem9b	TMEM9B	MGI, PanEnsembl, HomoloGene
Eif3b	EIF3B	MGI, PanEnsembl, HomoloGene
Muc4	MUC4	PanEnsembl
Camkv	CAMKV	MGI, PanEnsembl, HomoloGene
Tgfb3	TGFB3	MGI, PanEnsembl, HomoloGene
Hmces	HMCES	MGI, PanEnsembl, HomoloGene
Ermard	ERMARD	MGI, PanEnsembl, HomoloGene
Gm3435	ERMARD	PanEnsembl
9030025P20Rik	ERMARD	PanEnsembl
Nsdhl	NSDHL	MGI, PanEnsembl, HomoloGene
1700028K03Rik	C1orf146	MGI, PanEnsembl, HomoloGene
Nemp2	NEMP2	MGI
Tmem194b	NEMP2	PanEnsembl, HomoloGene
Usp17lb	USP17L17	PanEnsembl
Usp17lc	USP17L17	PanEnsembl
Usp17la	USP17L17	PanEnsembl
Usp17le	USP17L17	PanEnsembl
Usp17ld	USP17L17	PanEnsembl
Cdk14	CDK14	MGI, PanEnsembl, HomoloGene
Ror1	ROR1	MGI, PanEnsembl, HomoloGene
Cnpy1	CNPY1	MGI, PanEnsembl, HomoloGene
Hbs1l	HBS1L	MGI, PanEnsembl, HomoloGene
Mageb5	MAGEB5	MGI, PanEnsembl, HomoloGene
Gm14781	MAGEB5	PanEnsembl
Gm44	MAGEB5	PanEnsembl
Xk	XK	MGI, PanEnsembl, HomoloGene
Pcgf5	PCGF5	MGI, PanEnsembl, HomoloGene
Hmgb4	HMGB4	MGI, PanEnsembl, HomoloGene
Rnf128	RNF128	MGI, PanEnsembl, HomoloGene
Nrgn	NRGN	PanEnsembl
Rgs16	RGS16	MGI, PanEnsembl, HomoloGene
Zfp51	ZNF841	PanEnsembl
Clcn4	CLCN4	MGI
Clcn4-2	CLCN4	PanEnsembl, HomoloGene
Eif1ax	EIF1AY	MGI, HomoloGene
Eif1a	EIF1AY	PanEnsembl
Gm5039	EIF1AY	PanEnsembl
Gm8300	EIF1AY	PanEnsembl
Gm8332	EIF1AY	PanEnsembl
Gm2056	EIF1AY	PanEnsembl
Gm21319	EIF1AY	PanEnsembl
Gm2035	EIF1AY	PanEnsembl
Gm16368	EIF1AY	PanEnsembl
Gm2016	EIF1AY	PanEnsembl
Gm5662	EIF1AY	PanEnsembl
Gm21936	EIF1AY	PanEnsembl
Gm4027	EIF1AY	PanEnsembl
Gm2075	EIF1AY	PanEnsembl
Gm6803	EIF1AY	PanEnsembl
Gm2046	EIF1AY	PanEnsembl
BB287469	EIF1AY	PanEnsembl
Gm10264	EIF1AY	PanEnsembl
Usp19	USP19	MGI, PanEnsembl, HomoloGene
Kif18b	KIF18B	MGI, PanEnsembl, HomoloGene
Fam172a	FAM172A	MGI, PanEnsembl, HomoloGene
Gm14391	ZNF555	PanEnsembl
Senp1	SENP1	MGI, PanEnsembl, HomoloGene
Zfp963	ZNF669	MGI, PanEnsembl, HomoloGene
Zfp964	ZNF669	PanEnsembl
Zfp868	ZNF669	PanEnsembl
Zfp866	ZNF669	PanEnsembl
Zfp869	ZNF669	PanEnsembl
Tas2r120	TAS2R30	PanEnsembl
Tas2r136	TAS2R30	PanEnsembl
Fech	FECH	MGI, PanEnsembl, HomoloGene
Tut1	TUT1	MGI, HomoloGene
Nmb	NMB	MGI, PanEnsembl, HomoloGene
Ifi35	IFI35	MGI, PanEnsembl, HomoloGene
Tlcd2	TLCD2	MGI, PanEnsembl, HomoloGene
Psmb2	PSMB2	MGI, PanEnsembl, HomoloGene
Cap1	CAP1	MGI, PanEnsembl, HomoloGene
Kmt2a	KMT2A	MGI, PanEnsembl, HomoloGene
Ints11	INTS11	MGI
Cpsf3l	INTS11	PanEnsembl, HomoloGene
Nxph4	NXPH4	MGI, PanEnsembl, HomoloGene
Nrp1	NRP1	MGI, PanEnsembl, HomoloGene
Myl3	MYL3	MGI, PanEnsembl, HomoloGene
Serpina10	SERPINA10	MGI, PanEnsembl, HomoloGene
Nuak2	NUAK2	MGI, PanEnsembl, HomoloGene
Tmc1	TMC1	MGI, PanEnsembl, HomoloGene
Mapre1	MAPRE1	MGI, PanEnsembl, HomoloGene
Zfp941	ZNF141	PanEnsembl
Efcab14	EFCAB14	MGI, PanEnsembl, HomoloGene
Tmod1	TMOD1	MGI, PanEnsembl, HomoloGene
Ikzf3	IKZF3	MGI, PanEnsembl, HomoloGene
Usp18	USP18	MGI, PanEnsembl, HomoloGene
Fam107b	FAM107B	MGI, PanEnsembl, HomoloGene
Spata5l1	SPATA5L1	MGI, HomoloGene
Caskin1	CASKIN1	MGI, PanEnsembl, HomoloGene
Fbxo17	FBXO17	MGI, PanEnsembl, HomoloGene
Zfp251	ZNF251	MGI, PanEnsembl, HomoloGene
Lmo7	LMO7	MGI, PanEnsembl, HomoloGene
Lrrc45	LRRC45	MGI, PanEnsembl, HomoloGene
Tbcd	TBCD	MGI, PanEnsembl, HomoloGene
Aamp	AAMP	MGI, PanEnsembl, HomoloGene
Mars1	MARS1	MGI
Mars	MARS1	PanEnsembl, HomoloGene
Hcar2	HCAR2	MGI
Niacr1	HCAR2	PanEnsembl, HomoloGene
Gnat2	GNAT2	MGI, PanEnsembl, HomoloGene
Ints9	INTS9	MGI, PanEnsembl, HomoloGene
Nrf1	NRF1	MGI, PanEnsembl, HomoloGene
Ndel1	NDEL1	MGI, PanEnsembl, HomoloGene
Ganab	GANAB	MGI, PanEnsembl, HomoloGene
Nudt2	NUDT2	MGI, PanEnsembl, HomoloGene
Kmt2b	KMT2B	MGI, PanEnsembl, HomoloGene
Olfr734	OR4M1	MGI, PanEnsembl, HomoloGene, HORDE
Bfar	BFAR	MGI, PanEnsembl, HomoloGene
Plek2	PLEK2	MGI, PanEnsembl, HomoloGene
Ehbp1l1	EHBP1L1	PanEnsembl
Magea4	MAGEA11	MGI, PanEnsembl, HomoloGene
1700080O16Rik	MAGEA11	PanEnsembl
3830417A13Rik	MAGEA11	PanEnsembl
Magea10	MAGEA11	PanEnsembl
Magea5	MAGEA11	PanEnsembl
Magea6	MAGEA11	PanEnsembl
Magea1	MAGEA11	PanEnsembl
Magea8	MAGEA11	PanEnsembl
Magea3	MAGEA11	PanEnsembl
Magea2	MAGEA11	PanEnsembl
Arvcf	ARVCF	MGI, PanEnsembl, HomoloGene
Mindy4	MINDY4	MGI
Fam188b	MINDY4	PanEnsembl, HomoloGene
Napb	NAPB	MGI, PanEnsembl, HomoloGene
Ripply1	RIPPLY1	PanEnsembl
Lect2	LECT2	MGI, PanEnsembl, HomoloGene
Pdcd5-ps	PDCD5	MGI
Pdcd5	PDCD5	PanEnsembl
Gm3837	PDCD5	HomoloGene
Masp1	MASP1	PanEnsembl
Zfp703	ZNF703	MGI, PanEnsembl, HomoloGene
Inmt	INMT-MINDY4	PanEnsembl
Synb	ERVFRD-1	MGI, HomoloGene
Gm14226	ERVFRD-1	PanEnsembl
D17H6S56E-5	ERVFRD-1	PanEnsembl
Rgs20	RGS20	MGI, PanEnsembl, HomoloGene
Cd19	CD19	MGI, PanEnsembl, HomoloGene
Habp2	HABP2	MGI, PanEnsembl, HomoloGene
Hoxd10	HOXD10	MGI, PanEnsembl, HomoloGene
Chst8	CHST8	MGI, PanEnsembl, HomoloGene
Rassf5	RASSF5	MGI, HomoloGene
C1qtnf1	C1QTNF1	MGI, PanEnsembl, HomoloGene
Acadm	ACADM	MGI, PanEnsembl, HomoloGene
Tmem126b	TMEM126B	MGI, PanEnsembl, HomoloGene
Plagl1	PLAGL1	MGI, PanEnsembl, HomoloGene
Exog	EXOG	MGI, PanEnsembl, HomoloGene
Ermp1	ERMP1	MGI, PanEnsembl, HomoloGene
9330159F19Rik	KIAA0408	MGI, PanEnsembl, HomoloGene
Zfp560	ZNF121	PanEnsembl
Evi2a	EVI2A	MGI, PanEnsembl, HomoloGene
Rbbp5	RBBP5	MGI, PanEnsembl, HomoloGene
Dnajc27	DNAJC27	MGI, PanEnsembl, HomoloGene
Fbxo43	FBXO43	MGI, PanEnsembl, HomoloGene
Hey2	HEY2	MGI, PanEnsembl, HomoloGene
Ddx50	DDX50	MGI, PanEnsembl, HomoloGene
4930550L24Rik	MAGEC2	PanEnsembl
Hnmt	HNMT	MGI, PanEnsembl, HomoloGene
Folh1	FOLH1	PanEnsembl
Tll1	TLL1	MGI, PanEnsembl, HomoloGene
Polr3a	POLR3A	MGI, PanEnsembl, HomoloGene
Slc33a1	SLC33A1	MGI, PanEnsembl, HomoloGene
Git2	GIT2	MGI, PanEnsembl, HomoloGene
Rnase11	RNASE11	MGI, PanEnsembl, HomoloGene
Ppp1ccb	PPP1CC	MGI
Ppp1cc	PPP1CC	PanEnsembl
Gm5601	PPP1CC	HomoloGene
Adpgk	ADPGK	MGI, PanEnsembl, HomoloGene
Hmbs	HMBS	MGI, PanEnsembl, HomoloGene
Gabrr3	GABRR3	MGI, PanEnsembl, HomoloGene
Cnot9	CNOT9	MGI
Rqcd1	CNOT9	PanEnsembl, HomoloGene
Hyal5	SPAM1	MGI, PanEnsembl, HomoloGene
Spam1	SPAM1	PanEnsembl
Barx2	BARX2	MGI, PanEnsembl, HomoloGene
Stxbp4	STXBP4	MGI, PanEnsembl, HomoloGene
Prpf31	PRPF31	MGI, PanEnsembl, HomoloGene
Hal	HAL	MGI, PanEnsembl, HomoloGene
Spty2d1	SPTY2D1	MGI, PanEnsembl, HomoloGene
Prkacb	PRKACB	MGI, PanEnsembl, HomoloGene
Sncb	SNCB	MGI, PanEnsembl, HomoloGene
Gmfg-ps	GMFG	MGI
Gmfg	GMFG	PanEnsembl, HomoloGene
Dcc	DCC	MGI, PanEnsembl, HomoloGene
Sarnp	SARNP	MGI, PanEnsembl, HomoloGene
Gm6563	SARNP	PanEnsembl
Rara	RARA	MGI, PanEnsembl, HomoloGene
Gfpt1	GFPT1	MGI, PanEnsembl, HomoloGene
Sdhc	SDHC	MGI, PanEnsembl, HomoloGene
Dnajb14	DNAJB14	MGI, PanEnsembl, HomoloGene
Bco2	BCO2	MGI, PanEnsembl, HomoloGene
Dqx1	DQX1	MGI, PanEnsembl, HomoloGene
Adam12	ADAM12	MGI, PanEnsembl, HomoloGene
Nsd1	NSD1	MGI, PanEnsembl, HomoloGene
Gng12	GNG12	MGI, PanEnsembl, HomoloGene
Cndp1	CNDP1	MGI, PanEnsembl, HomoloGene
Map2k2	MAP2K2	MGI, PanEnsembl, HomoloGene
Arhgap21	ARHGAP21	MGI, PanEnsembl, HomoloGene
Cyp2c39	CYP2C8	MGI, PanEnsembl, HomoloGene
Cyp2c65	CYP2C8	PanEnsembl
Cyp2c38	CYP2C8	PanEnsembl
Cyp2c66	CYP2C8	PanEnsembl
Cyp2c29	CYP2C8	PanEnsembl
Cyp2c50	CYP2C8	PanEnsembl
Cyp2c37	CYP2C8	PanEnsembl
Cyp2c54	CYP2C8	PanEnsembl
Cyp2c69	CYP2C8	PanEnsembl
Cyp2c68	CYP2C8	PanEnsembl
Cyp2c67	CYP2C8	PanEnsembl
Cyp2c40	CYP2C8	PanEnsembl
Pola1	POLA1	MGI, PanEnsembl, HomoloGene
Ppm1j	PPM1J	MGI, PanEnsembl, HomoloGene
Prdm15	PRDM15	MGI, PanEnsembl, HomoloGene
Olfr429	OR6N1	MGI, PanEnsembl, HomoloGene, HORDE
Srsf5	SRSF5	PanEnsembl
Zbtb33	ZBTB33	MGI, PanEnsembl, HomoloGene
Cenpq	CENPQ	MGI, PanEnsembl, HomoloGene
Poteg	POTEF	PanEnsembl
Gpr157	GPR157	MGI, PanEnsembl, HomoloGene
Aknad1	AKNAD1	MGI, PanEnsembl, HomoloGene
Rfc3	RFC3	MGI, PanEnsembl, HomoloGene
